"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_37,K_38,K_43,K_44,K_45,K_46";"MX-1U-NoLED";39;"KEYSW";;;
2;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
3;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
4;"SW1";"SW_SPST_SKQG_WithStem";1;"SW_Push";;;
5;"R6,R5";"R_0805_2012Metric";2;"10k";;;
6;"R4,R3";"R_0805_2012Metric";2;"22";;;
7;"R2,R1";"R_0805_2012Metric";2;"5.1k";;;
8;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
9;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
10;"C7";"C_0805_2012Metric";1;"1uF";;;
11;"C6,C3,C2";"C_0805_2012Metric";3;"0.1uF";;;
12;"C5,C4";"C_0805_2012Metric";2;"22pF";;;
13;"C1";"C_0805_2012Metric";1;"10uF";;;
14;"D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46";"D_SOD-123";47;"D";;;
15;"K_15,K_36";"MX-1.25U-NoLED";2;"KEYSW";;;
16;"K_25,K_26";"MX-1.75U-NoLED";2;"KEYSW";;;
17;"K_39,K_42";"MX-1.5U-NoLED";2;"KEYSW";;;
18;"K_40";"MX-2.25U-NoLED";1;"KEYSW";;;
19;"K_41";"MX-2.75U-NoLED";1;"KEYSW";;;
